TF	Flybase ID	target	pattern
Vmat	FBgn0260964	"1,5"	6
SREBP	FBgn0261283	"1,3,4,5,7,12"	10
Jra	FBgn0001291	"1,3,4,5,6,8,9,10,11"	8
kay	FBgn0001297	"1,3,8,9,10,11"	5
Ets21C	FBgn0005660	"1,2,3,4,9,11,12"	10
pnt	FBgn0003118	"2,3,4,5,6,11"	10
nau	FBgn0002922	"2,3,4,9,11,12"	6
rib	FBgn0003254	2	1
Hnf4	FBgn0004914	"2,4,9,11,12"	7
orb	FBgn0004882	2	1
Clk	FBgn0023076	"2,3,4,7,9,12"	1
HDAC1	FBgn0015805	"2,5,12"	10
sd	FBgn0003345	"2,3,6,7,8,9,11,12"	10
sqa	FBgn0259678	2	5
crol	FBgn0020309	2	10
Tudor-SN	FBgn0035121	2	10
tHMG2	FBgn0038979	"3,9"	1
Kdm2	FBgn0037659	3	10
dl	FBgn0260632	"4,8,10,11"	10
Blimp-1	FBgn0035625	"4,7,9"	10
vri	FBgn0016076	"6,9"	7
crc	FBgn0000370	"6,8,10"	10
CG44247	FBgn0265182	"6,8"	10
Xbp1	FBgn0021872	"6,8,9"	10
Rel	FBgn0014018	8	8
mor	FBgn0002783	"8,11"	7
RpII215	FBgn0003277	"9,12"	10
esg	FBgn0287768	"9,11,12"	10
chinmo	FBgn0086758	9	1
Rbfox1	FBgn0052062	9	5
Trl	FBgn0013263	10	10
Eip78C	FBgn0004865	11	6
wdn	FBgn0005642	12	7
