	p-value	R-squared	p.valor_beta0	p.valor_evovsanc	p.valor_age	p.valor_agexevo	p.valor_age2	p.valor_age2xevo	cut
dsim_PG00004	4.99E-38	0.746967422	1.12E-182	NA	NA	3.62E-05	6.13E-26	NA	1
dsim_PG00018	1.42E-26	0.614123839	2.34E-104	NA	0.000242665	NA	NA	2.26E-13	2
dsim_PG00029	3.58E-33	0.709931146	2.15E-184	NA	1.01E-33	5.27E-12	1.81E-29	NA	3
dsim_PG00030	4.46E-47	0.818700569	4.23E-127	NA	5.72E-24	NA	NA	2.05E-12	2
dsim_PG00059	1.27E-34	0.735901727	1.07E-145	3.45E-07	NA	0.001246416	1.16E-20	0.012466705	1
dsim_PG00072	2.36E-42	0.784244514	1.03E-209	NA	NA	0.002388177	4.16E-32	NA	1
dsim_PG00111	2.26E-30	0.67801545	3.37E-126	1.18E-05	NA	0.001904223	2.71E-15	NA	1
dsim_PG00114	1.45E-32	0.714621677	1.44E-156	7.14E-13	0.000254632	4.69E-08	5.16E-09	NA	2
dsim_PG00120	1.97E-32	0.689024732	3.81E-154	NA	NA	0.038664275	2.52E-24	NA	1
dsim_PG00130	5.65E-30	0.659565545	8.35E-142	NA	NA	5.80E-08	3.02E-15	NA	1
dsim_PG00160	1.58E-34	0.724203341	1.27E-69	0.00029917	NA	NA	2.33E-08	5.43E-12	2
dsim_PG00178	2.56E-28	0.638144358	6.41E-144	NA	NA	0.002828043	5.30E-19	NA	1
dsim_PG00187	5.16E-42	0.8000128	2.68E-82	NA	9.26E-24	0.005941352	1.26E-12	0.006556427	4
dsim_PG00193	5.56E-39	0.755699696	1.97E-197	NA	NA	0.001813578	1.04E-28	NA	1
dsim_PG00197	2.53E-26	0.625535789	3.43E-117	0.012056016	NA	0.011604069	6.38E-14	NA	1
dsim_PG00199	1.53E-34	0.712278429	1.13E-169	NA	NA	0.000278115	1.56E-23	NA	1
dsim_PG00204	4.94E-30	0.660291721	5.08E-165	NA	NA	0.014052587	1.70E-21	NA	1
dsim_PG00207	8.43E-41	0.771539212	1.37E-170	NA	NA	0.018493269	1.11E-31	NA	1
dsim_PG00278	7.76E-31	0.683542254	4.40E-109	NA	3.33E-14	0.002509705	1.39E-07	NA	4
FBgn0000024	5.38E-26	0.634347835	9.50E-172	6.45E-15	3.46E-20	9.76E-05	6.35E-16	NA	3
FBgn0000052	1.76E-48	0.835931224	1.39E-170	0.002840793	NA	2.64E-08	4.17E-26	NA	5
FBgn0000053	9.37E-31	0.682576171	9.42E-137	NA	0.028113708	0.000101852	1.49E-07	NA	5
FBgn0000083	5.48E-27	0.647796761	5.25E-162	NA	6.61E-05	1.47E-06	2.15E-08	0.00249006	5
FBgn0000100	4.49E-55	0.877538482	2.93E-224	1.29E-06	3.46E-23	0.000775533	1.18E-09	NA	6
FBgn0000114	1.37E-45	0.817287674	6.21E-197	0.000284419	6.98E-29	0.039127849	NA	NA	1
FBgn0000116	5.20E-72	0.931584342	2.15E-194	NA	3.17E-56	0.048397183	1.43E-42	NA	7
FBgn0000147	3.35E-33	0.710233438	7.97E-149	0.00221053	NA	0.009383509	4.70E-19	NA	1
FBgn0000153	3.03E-79	0.953093791	5.51E-153	0.037765474	1.18E-32	0.002847169	9.94E-15	0.016155573	7
FBgn0000163	1.02E-46	0.824797128	9.12E-212	NA	NA	4.55E-06	5.36E-30	0.007569809	8
FBgn0000182	3.09E-44	0.807857469	4.55E-181	0.000357099	NA	0.001669769	1.71E-27	NA	1
FBgn0000212	1.13E-30	0.693544501	1.75E-141	7.66E-05	7.31E-09	0.010910826	0.000147141	NA	8
FBgn0000228	8.71E-44	0.812901842	1.30E-175	3.99E-07	6.42E-27	0.000451454	NA	0.004159068	6
FBgn0000239	7.28E-29	0.671885995	4.63E-193	NA	9.96E-07	1.57E-05	0.018238916	0.002355813	4
FBgn0000256	5.41E-44	0.814350823	1.49E-209	0.000164278	NA	0.000280375	2.54E-28	0.006988935	1
FBgn0000274	6.36E-39	0.765846275	1.44E-164	0.000424785	NA	0.002417783	5.79E-23	NA	1
FBgn0000279	5.73E-27	0.659533903	0.000219619	6.84E-06	0.007095308	2.76E-08	0.000268575	3.72E-05	5
FBgn0000299	1.21E-28	0.656589531	5.78E-126	NA	5.70E-26	0.017632204	9.00E-20	NA	3
FBgn0000308	3.76E-33	0.720849667	7.74E-190	0.032004214	7.14E-19	2.33E-07	NA	4.53E-07	8
FBgn0000319	7.05E-30	0.684197869	6.08E-221	NA	4.85E-09	8.98E-06	8.47E-13	0.013459154	5
FBgn0000370	1.93E-38	0.750780992	1.00E-267	NA	NA	3.40E-08	2.32E-23	NA	8
FBgn0000392	3.78E-49	0.847032593	7.21E-197	4.92E-05	NA	0.001110889	2.41E-31	0.045254307	1
FBgn0000395	8.02E-32	0.681969849	1.81E-153	NA	NA	1.97E-10	1.65E-14	NA	8
FBgn0000404	1.42E-29	0.668277105	1.46E-161	0.004292627	NA	0.030260104	5.61E-17	NA	1
FBgn0000406	6.30E-39	0.775396194	6.20E-177	0.026799004	3.73E-26	0.002656637	1.30E-19	NA	4
FBgn0000409	7.48E-67	0.917128348	9.24E-160	NA	6.30E-51	NA	9.99E-36	0.035360965	7
FBgn0000414	1.02E-32	0.692316092	2.17E-216	NA	1.65E-16	2.10E-08	NA	NA	8
FBgn0000416	1.92E-41	0.786813871	1.47E-212	NA	1.02E-16	NA	1.90E-07	2.36E-06	8
FBgn0000422	1.19E-26	0.643270705	3.94E-160	7.49E-06	5.47E-21	0.00211875	1.12E-13	NA	7
FBgn0000447	7.03E-28	0.632251425	1.18E-207	NA	NA	0.00123738	3.80E-18	NA	1
FBgn0000533	1.22E-24	0.615109742	7.26E-153	0.009563259	NA	0.000481803	4.05E-12	0.0120915	5
FBgn0000556	2.82E-53	0.868992106	1.40E-245	3.18E-06	3.35E-23	NA	5.32E-09	7.06E-05	8
FBgn0000557	1.26E-28	0.656355506	2.41E-174	NA	8.52E-30	NA	2.03E-26	0.000869715	3
FBgn0000559	1.46E-50	0.848150183	8.15E-249	0.010640169	3.06E-31	NA	NA	3.10E-05	6
FBgn0000565	1.52E-29	0.667937862	3.17E-138	8.21E-06	1.48E-12	4.10E-08	NA	NA	9
FBgn0000566	1.17E-49	0.842949801	1.85E-156	NA	6.17E-38	3.13E-09	NA	5.37E-08	6
FBgn0000568	1.84E-28	0.640061087	4.47E-188	NA	4.16E-18	0.001666268	NA	NA	8
FBgn0000615	1.42E-49	0.849449769	1.42E-207	6.51E-05	NA	0.000609877	1.99E-32	0.02122418	1
FBgn0000721	2.14E-37	0.752150861	4.25E-229	NA	8.14E-24	4.13E-08	NA	7.10E-05	8
FBgn0001099	2.25E-36	0.752760756	7.09E-172	0.000110504	NA	0.002537294	3.79E-21	0.047828929	1
FBgn0001104	1.97E-24	0.61207944	2.23E-152	NA	0.013961645	0.000372346	5.68E-06	0.017981117	5
FBgn0001124	3.76E-25	0.608782324	2.26E-217	0.012455114	NA	NA	1.24E-07	3.30E-06	5
FBgn0001125	1.62E-25	0.62767144	4.13E-144	8.88E-08	1.41E-12	1.15E-07	3.86E-16	NA	5
FBgn0001137	1.03E-47	0.831175152	2.29E-141	NA	1.02E-36	2.63E-13	NA	8.78E-11	8
FBgn0001142	2.74E-29	0.664743053	8.46E-127	NA	0.004846006	2.68E-09	3.24E-07	NA	5
FBgn0001179	4.51E-41	0.773814057	4.28E-169	NA	5.20E-29	0.000342763	NA	NA	8
FBgn0001187	9.80E-30	0.682490984	1.39E-184	8.72E-14	0.000848909	NA	3.51E-06	9.92E-10	6
FBgn0001202	9.58E-32	0.6810652	1.54E-204	NA	7.58E-16	NA	NA	7.16E-06	5
FBgn0001208	1.22E-43	0.794238846	3.69E-197	NA	1.29E-24	NA	NA	4.74E-08	6
FBgn0001217	4.07E-41	0.784207919	2.08E-188	0.002815059	NA	0.004404716	2.36E-25	NA	1
FBgn0001220	2.45E-57	0.875773769	1.08E-238	NA	2.94E-43	1.19E-06	NA	NA	8
FBgn0001223	1.58E-50	0.860981611	3.29E-54	0.023589332	4.58E-15	0.002586055	1.17E-06	0.013438208	4
FBgn0001228	1.11E-36	0.745446927	2.08E-145	0.000107546	NA	0.000672502	3.21E-20	NA	1
FBgn0001257	1.24E-26	0.643040992	1.71E-130	0.013466554	NA	9.88E-05	6.28E-12	0.007057429	8
FBgn0001258	1.53E-44	0.818127449	3.73E-149	NA	0.001813951	5.94E-11	7.49E-12	1.25E-07	5
FBgn0001281	4.39E-35	0.729865878	3.35E-175	9.57E-05	NA	0.002657721	1.36E-19	NA	1
FBgn0001291	2.80E-35	0.720010171	2.32E-191	NA	2.69E-19	4.24E-08	NA	NA	5
FBgn0001297	4.46E-51	0.85771737	5.92E-211	NA	2.10E-45	1.77E-11	2.84E-34	3.29E-05	3
FBgn0001308	5.36E-31	0.685429629	1.10E-216	NA	NA	1.37E-06	2.19E-19	0.000389284	5
FBgn0001337	4.09E-32	0.698261849	7.58E-191	NA	5.73E-31	2.49E-06	NA	3.52E-09	8
FBgn0001404	3.12E-26	0.637610537	4.89E-202	NA	6.17E-08	0.006110108	0.012433258	0.012398356	4
FBgn0001941	1.06E-41	0.797632658	1.51E-170	1.47E-06	4.48E-13	3.40E-06	1.64E-05	NA	8
FBgn0001942	1.29E-49	0.849689483	8.67E-256	NA	1.09E-18	0.008240047	1.16E-06	0.001644318	6
FBgn0001977	4.82E-33	0.719717189	1.60E-163	NA	4.58E-12	6.37E-05	3.81E-05	0.001751133	8
FBgn0001978	8.39E-34	0.704346746	4.61E-223	NA	3.03E-24	0.015820102	NA	NA	8
FBgn0001981	5.88E-32	0.696488505	1.90E-72	NA	1.93E-16	0.008094889	2.61E-09	NA	8
FBgn0002036	3.49E-57	0.881288257	1.30E-187	7.44E-05	5.85E-36	3.66E-05	NA	NA	1
FBgn0002044	2.29E-30	0.664439393	4.97E-229	NA	8.50E-18	3.64E-05	NA	NA	8
FBgn0002069	1.74E-65	0.912807383	5.10E-191	2.59E-13	2.13E-40	4.38E-09	NA	NA	6
FBgn0002121	3.09E-40	0.766736441	1.18E-208	NA	1.54E-26	9.12E-06	NA	NA	8
FBgn0002174	2.79E-37	0.751085944	2.34E-197	0.000393939	5.82E-20	NA	NA	0.000220095	1
