Pool_518_L01	H09_40
Pool_518_L02	H10_9
Pool_518_L03	B06_20
Pool_518_L04	B06_3
Pool_518_L05	B06_9
Pool_518_L06	B04_3
Pool_518_L07	B04_1
Pool_518_L08	H11_16
Pool_518_L09	B03_40
Pool_518_L10	H08_16
Pool_518_L11	B01_16
Pool_518_L12	B04_40
Pool_518_L13	H08_12
Pool_518_L14	H11_12
Pool_518_L15	H12_20
Pool_518_L16	H07_20
Pool_518_L17	B02_20
Pool_518_L18	H12_16
Pool_518_L19	B02_40
Pool_518_L20	B01_20
Pool_518_L21	H10_1
Pool_518_L22	B01_7
Pool_518_L23	H08_1
Pool_518_L24	B06_1
Pool_518_L25	B05_9
Pool_518_L26	B02_60
Pool_518_L27	H07_9
Pool_518_L28	H11_5
Pool_518_L29	H07_30
Pool_518_L30	H08_3
Pool_518_L31	B04_9
Pool_518_L32	B05_16
Pool_518_L33	B03_5
Pool_518_L34	B04_5
Pool_518_L35	B06_5
Pool_518_L36	H08_5
Pool_518_L37	H09_5
Pool_518_L38	H11_50
Pool_519_L01	B02_7
Pool_519_L02	B05_20
Pool_519_L03	B03_3
Pool_519_L04	B01_9
Pool_519_L05	B02_30
Pool_519_L06	H12_7
Pool_519_L07	B05_12
Pool_519_L08	B06_7
Pool_519_L09	B04_30
Pool_519_L10	H09_9
Pool_519_L11	H07_50
Pool_519_L12	B06_30
Pool_519_L13	B04_50
Pool_519_L14	H09_30
Pool_519_L15	H11_20
Pool_519_L16	H07_7
Pool_519_L17	B03_7
Pool_519_L18	B03_1
Pool_519_L19	H10_3
Pool_519_L20	H12_40
Pool_519_L21	B02_3
Pool_519_L22	B03_9
Pool_519_L23	B02_5
Pool_519_L24	H09_7
Pool_519_L25	B05_30
Pool_519_L26	H11_9
Pool_519_L27	B04_12
Pool_519_L28	B04_16
Pool_519_L29	H08_7
Pool_519_L30	B06_50
Pool_519_L31	B04_7
Pool_519_L32	B02_16
Pool_519_L33	H10_5
Pool_519_L34	B01_50
Pool_519_L35	B03_50
Pool_519_L36	B05_50
Pool_519_L37	H10_50
Pool_519_L38	H12_50
Pool_520_L01	B03_16
Pool_520_L02	B01_30
Pool_520_L03	B06_16
Pool_520_L04	B05_5
Pool_520_L05	B01_3
Pool_520_L06	H10_20
Pool_520_L07	B06_60
Pool_520_L08	B01_12
Pool_520_L09	H10_7
Pool_520_L10	H10_16
Pool_520_L11	B03_12
Pool_520_L12	H07_40
Pool_520_L13	H08_9
Pool_520_L14	H08_40
Pool_520_L15	H11_30
Pool_520_L16	H12_1
Pool_520_L17	H07_5
Pool_520_L18	H07_3
Pool_520_L19	B04_60
Pool_520_L20	H12_30
Pool_520_L21	H09_1
Pool_520_L22	B05_7
Pool_520_L23	H12_9
Pool_520_L24	H11_40
Pool_520_L25	H12_3
Pool_520_L26	H11_60
Pool_520_L27	B01_5
Pool_520_L28	H08_20
Pool_520_L29	H09_16
Pool_520_L30	H10_12
Pool_520_L31	B05_60
Pool_520_L32	B04_20
Pool_520_L33	B04_7_t
Pool_520_L34	H10_7_t
Pool_520_L35	H08_9_t
Pool_520_L36	H12_1_t
Pool_521_L01	B02_50
Pool_521_L02	B05_1
Pool_521_L03	H10_60
Pool_521_L04	H09_50
Pool_521_L05	B02_9
Pool_521_L06	H07_12
Pool_521_L07	H09_3
Pool_521_L08	H11_1
Pool_521_L09	B06_12
Pool_521_L10	B05_3
Pool_521_L11	H10_30
Pool_521_L12	H07_16
Pool_521_L13	H12_60
Pool_521_L14	H07_1
Pool_521_L15	H11_7
Pool_521_L16	B02_1
Pool_521_L17	B01_40
Pool_521_L18	H12_12
Pool_521_L19	H12_5
Pool_521_L20	B03_60
Pool_521_L21	B06_40
Pool_521_L22	H09_12
Pool_521_L23	B03_30
Pool_521_L24	B02_12
Pool_521_L25	H09_20
Pool_521_L26	H08_50
Pool_521_L27	H10_40
Pool_521_L28	B01_1
Pool_521_L29	B03_20
Pool_521_L30	H08_30
Pool_521_L31	B01_60
Pool_521_L32	H11_3
Pool_521_L33	H07_5_t
Pool_521_L34	H12_9_t
Pool_521_L35	H12_12_t
Pool_521_L36	H12_30_t
Pool_521_L37	B04_20_t
