"","X","date","time","pop","eggs","date_time","pop_type","date_time_pop"
"1",1,"2022-02-01","overnight","evo1",283,"2022-02-01_am","evo","2022-02-01_am_evo1"
"2",2,"2022-02-01","overnight","evo2",138,"2022-02-01_am","evo","2022-02-01_am_evo2"
"3",3,"2022-02-01","overnight","evo3",132,"2022-02-01_am","evo","2022-02-01_am_evo3"
"4",4,"2022-02-01","overnight","evo4",307,"2022-02-01_am","evo","2022-02-01_am_evo4"
"5",5,"2022-02-01","overnight","evo5",173,"2022-02-01_am","evo","2022-02-01_am_evo5"
"6",6,"2022-02-01","overnight","rap1",12,"2022-02-01_am","anc","2022-02-01_am_rap1"
"7",7,"2022-02-01","overnight","rap2",30,"2022-02-01_am","anc","2022-02-01_am_rap2"
"8",8,"2022-02-01","overnight","rap3",12,"2022-02-01_am","anc","2022-02-01_am_rap3"
"9",9,"2022-02-01","overnight","rap4",21,"2022-02-01_am","anc","2022-02-01_am_rap4"
"10",10,"2022-02-01","overnight","rap5",13,"2022-02-01_am","anc","2022-02-01_am_rap5"
"11",11,"2022-02-01","daytime","evo1",676,"2022-02-01_pm","evo","2022-02-01_pm_evo1"
"12",12,"2022-02-01","daytime","evo2",561,"2022-02-01_pm","evo","2022-02-01_pm_evo2"
"13",13,"2022-02-01","daytime","evo3",485,"2022-02-01_pm","evo","2022-02-01_pm_evo3"
"14",14,"2022-02-01","daytime","evo4",472,"2022-02-01_pm","evo","2022-02-01_pm_evo4"
"15",15,"2022-02-01","daytime","evo5",441,"2022-02-01_pm","evo","2022-02-01_pm_evo5"
"16",16,"2022-02-01","daytime","rap1",39,"2022-02-01_pm","anc","2022-02-01_pm_rap1"
"17",17,"2022-02-01","daytime","rap2",75,"2022-02-01_pm","anc","2022-02-01_pm_rap2"
"18",18,"2022-02-01","daytime","rap3",26,"2022-02-01_pm","anc","2022-02-01_pm_rap3"
"19",19,"2022-02-01","daytime","rap4",28,"2022-02-01_pm","anc","2022-02-01_pm_rap4"
"20",20,"2022-02-01","daytime","rap5",32,"2022-02-01_pm","anc","2022-02-01_pm_rap5"
"21",21,"2022-02-02","overnight","evo1",276,"2022-02-02_am","evo","2022-02-02_am_evo1"
"22",22,"2022-02-02","overnight","evo2",189,"2022-02-02_am","evo","2022-02-02_am_evo2"
"23",23,"2022-02-02","overnight","evo3",209,"2022-02-02_am","evo","2022-02-02_am_evo3"
"24",24,"2022-02-02","overnight","evo4",437,"2022-02-02_am","evo","2022-02-02_am_evo4"
"25",25,"2022-02-02","overnight","evo5",253,"2022-02-02_am","evo","2022-02-02_am_evo5"
"26",26,"2022-02-02","overnight","rap1",65,"2022-02-02_am","anc","2022-02-02_am_rap1"
"27",27,"2022-02-02","overnight","rap2",78,"2022-02-02_am","anc","2022-02-02_am_rap2"
"28",28,"2022-02-02","overnight","rap3",100,"2022-02-02_am","anc","2022-02-02_am_rap3"
"29",29,"2022-02-02","overnight","rap4",40,"2022-02-02_am","anc","2022-02-02_am_rap4"
"30",30,"2022-02-02","overnight","rap5",19,"2022-02-02_am","anc","2022-02-02_am_rap5"
"31",31,"2022-02-02","daytime","evo1",319,"2022-02-02_pm","evo","2022-02-02_pm_evo1"
"32",32,"2022-02-02","daytime","evo2",315,"2022-02-02_pm","evo","2022-02-02_pm_evo2"
"33",33,"2022-02-02","daytime","evo3",410,"2022-02-02_pm","evo","2022-02-02_pm_evo3"
"34",34,"2022-02-02","daytime","evo4",242,"2022-02-02_pm","evo","2022-02-02_pm_evo4"
"35",35,"2022-02-02","daytime","evo5",307,"2022-02-02_pm","evo","2022-02-02_pm_evo5"
"36",36,"2022-02-02","daytime","rap1",71,"2022-02-02_pm","anc","2022-02-02_pm_rap1"
"37",37,"2022-02-02","daytime","rap2",126,"2022-02-02_pm","anc","2022-02-02_pm_rap2"
