,1,2,3,4,5,6,7,8
1,1,0.989690722,1,0.957446809,0.98989899,0.893617021,0.897196262,0.825688073
2,1,1,0.963855422,0.977777778,0.923076923,0.861702128,0.908333333,0.777777778
3,1,0.990825688,0.956140351,0.952380952,0.923076923,0.926605505,0.817391304,0.768
4,0.986013986,0.966942149,0.992307692,0.955223881,0.969465649,0.912751678,0.901515152,0.773913043
5,0.97810219,0.954887218,0.818181818,0.636363636,0.26,0.072727273,0.056910569,0.016806723
6,0.980519481,0.965277778,0.841121495,0.7578125,0.518796992,0.115384615,0.066666667,0.009433962
7,1,0.9375,0.854700855,0.675,0.663865546,0.514851485,0.365853659,0.188034188
8,1,0.918181818,0.836065574,0.688,0.595238095,0.468085106,0.284552846,0.15
9,0.993243243,0.979452055,0.927152318,0.838926174,0.698529412,0.58041958,0.442028986,0.272727273
10,0.976047904,0.935483871,0.926666667,0.825301205,0.646706587,0.620437956,0.295454545,0.235849057
11,0.987261146,0.961538462,0.925170068,0.820512821,0.807142857,0.652173913,0.476190476,0.393700787
12,1,0.935779817,0.765432099,0.630252101,0.685714286,0.548387097,0.241071429,0.2
