,1,2,3,4,5,6,7,8
1,0.985611511,0.993506494,1,1,0.993710692,0.913907285,0.915254237,0.840909091
2,1,1,1,0.967213115,0.936,0.958041958,0.954887218,0.703703704
3,1,1,0.973913043,0.99047619,0.950819672,0.976923077,0.92173913,0.738636364
4,0.98089172,0.989847716,0.987654321,0.9765625,0.957264957,0.950413223,0.950413223,0.818181818
5,0.95,0.927631579,0.928571429,0.602941176,0.722627737,0.511904762,0.275362319,0.059701493
6,0.965753425,0.932835821,0.933333333,0.810810811,0.523076923,0.476635514,0.341463415,0.058823529
7,0.98265896,1,0.944827586,0.756944444,0.827338129,0.657894737,0.621212121,0.324324324
8,1,0.994152047,0.920863309,0.858333333,0.850746269,0.790849673,0.719298246,0.223602484
9,0.984,0.967105263,0.849056604,0.786324786,0.836363636,0.634615385,0.475728155,NA
10,0.972727273,0.943396226,0.905660377,0.775700935,0.849315068,0.76344086,0.490196078,NA
11,0.992857143,0.936936937,0.903061224,0.904458599,0.88125,0.668604651,0.317073171,0.133858268
12,0.961904762,0.976190476,0.962765957,0.842696629,0.832167832,0.697674419,0.347457627,0.157024793
