TissueID	Stage	Sex	TissueName	Abbreviation	UniTissueID	Reference	Replicates
1	Adult	Male	Head	Hd	1001	No	3
2	Adult	Female	Head	Hd	1001	No	3
3	Adult	Male	Eye	Ey	1002	No	2
4	Adult	Female	Eye	Ey	1002	No	2
5	Adult	Male	Brain	Br	1003	No	3
6	Adult	Female	Brain	Br	1003	No	3
7	Adult	Male	Thoracicoabdominal ganglion	Tg	1004	No	2
8	Adult	Female	Thoracicoabdominal ganglion	Tg	1004	No	2
9	Adult	Male	Crop	Cr	1005	No	2
10	Adult	Female	Crop	Cr	1005	No	2
11	Adult	Male	Midgut	Mg	1006	No	3
12	Adult	Female	Midgut	Mg	1006	No	3
13	Adult	Male	Hindgut	Hg	1007	No	3
14	Adult	Female	Hindgut	Hg	1007	No	3
15	Adult	Male	Malpighian Tubules	Tu	1008	No	3
16	Adult	Female	Malpighian Tubules	Tu	1008	No	3
17	Adult	Male	Fat body	Fb	1009	No	0
18	Adult	Female	Fat body	Fb	1009	No	0
19	Adult	Male	Salivary gland	Sg	1010	No	2
20	Adult	Female	Salivary gland	Sg	1010	No	2
21	Adult	Male	Heart	Ht	1011	No	0
22	Adult	Female	Heart	Ht	1011	No	0
23	Adult	Male	Carcass	Cs	1012	No	3
24	Adult	Female	Carcass	Cs	1012	No	3
25	Adult	Male	Rectal pad	Ap	1013	No	3
26	Adult	Female	Rectal pad	Ap	1013	No	3
27	Adult	Male	Testis	Ts	1014	No	3
28	Adult	Male	Accessory glands	Ag	1015	No	3
29	Adult	Female	Ovary	Ov	1016	No	3
30	Adult	Female	Virgin Spermatheca	Vs	1017	No	0
31	Adult	Female	Mated Spermatheca	Ms	1018	No	0
32	Larval	Both	CNS	Ns	1003	No	3
33	Larval	Both	Midgut	Mg	1006	No	3
34	Larval	Both	Hindgut	Hg	1007	No	3
35	Larval	Both	Malpighian Tubules	Tu	1008	No	3
36	Larval	Both	Fat body	Fb	1009	No	3
37	Larval	Both	Salivary gland	Sg	1010	No	3
38	Larval	Both	Trachea	Tr	1019	No	3
39	Larval	Both	Carcass	Cs	1012	No	3
100	Adult	Male	Whole body	Wb	1020	Yes	3
200	Adult	Female	Whole body	Wb	1020	Yes	3
300	Larval	Both	Whole body	Wb	1020	Yes	3
