FBgnID Adult_Male_Hd Adult_Female_Hd Adult_Male_Ey Adult_Female_Ey Adult_Male_Br Adult_Female_Br Adult_Male_Tg Adult_Female_Tg Adult_Male_Cr Adult_Female_Cr Adult_Male_Mg Adult_Female_Mg Adult_Male_Hg Adult_Female_Hg Adult_Male_Tu Adult_Female_Tu Adult_Male_Sg Adult_Female_Sg Adult_Male_Cs Adult_Female_Cs Adult_Male_Ap Adult_Female_Ap Adult_Male_Ts Adult_Male_Ag Adult_Female_Ov Larval_Both_Ns Larval_Both_Mg Larval_Both_Hg Larval_Both_Tu Larval_Both_Fb Larval_Both_Sg Larval_Both_Tr Larval_Both_Cs Adult_Male_Wb Adult_Female_Wb Larval_Both_Wb
FBgn0000003 0 114.08 85.71 0 0 0 0 0 789.41 445.31 239.26 270.08 387.48 22.93 658.39 100.96 0 0 720.03 496.54 0 0 454.4 0 19.38 48.76 133.37 156.67 84.48 457.02 0 547.46 734.27 74.57 31.2 916.69
FBgn0000008 0.14 0.31 0.58 0.12 0.29 0.72 0.21 0.19 0.13 0.26 0.09 0.02 0.11 0.17 0.07 0.29 0.02 0.76 0.44 0.52 0.05 0.33 0.03 0.64 0.22 0.28 0.14 0.1 0.05 2.23 0.96 0.61 0.18 0.24 0.32 0.5
FBgn0000014 0 0.02 0.01 0.01 0.03 0.01 0.57 0.11 0.03 0.11 0.16 0.13 0.1 0.12 0.09 0.02 0.03 0.02 0.34 0.21 0.01 0.19 2.53 0.3 0.35 0.2 0.15 0.21 0.03 3.66 0 11.04 1.51 0.19 0.07 0.41
FBgn0000015 0 0.01 0.01 0.01 0.03 0.02 0.3 0.23 0.02 0.01 0.15 0.04 0.13 0.58 0.15 0.04 0.11 0.01 0.57 0.17 0.59 1.18 0.6 0.4 0.02 0.21 0.06 1.04 0.04 1.39 0 1.9 0.35 0.22 0.09 0.19
FBgn0000017 1.58 6.57 2.6 0.52 0.92 1.57 2.78 1.38 1.41 0.11 0.53 0.45 0.4 0.75 1.08 1.82 1.56 0.39 2.94 0.64 0.45 0.13 7.51 0.13 0.22 2.43 0.37 0.98 0.76 0.46 0.03 1.4 0.28 1.32 0.58 0.76
FBgn0000018 0.83 0.77 0.03 0.13 0.2 0.31 0.06 0.46 0.28 0.95 1.08 0.5 0.75 0.36 0.62 1.67 0.6 2.06 0.79 0.69 0.5 0.31 0.78 0.58 0.63 0.35 0.35 0.87 0.85 1.34 0.22 0.78 0.25 0.44 0.96 0.34
FBgn0000022 0 0.01 0 0 0 0 0 0 0 0 0.09 0 0.09 0.02 0.1 0 0 0 0 0.06 0 0.06 0 0 0.15 0.24 0.08 0.31 0 0.16 0.2 0.16 0.17 0.09 0.09 0.3
FBgn0000024 1.39 5.56 2.06 1.56 1.7 10.18 10.05 0.24 0.54 0.72 2.75 0.61 0.1 0.06 0.75 0.06 0.84 0.01 1.28 1.62 0.09 0.12 0.09 0.54 0.02 1.65 0.85 0.04 0.74 2.9 0.81 0.02 0.07 0.71 0.17 0.51
FBgn0000028 0.18 0.61 0.04 0 0.12 0.37 0.1 0.13 0.01 0.03 0.07 0.01 0.01 0.01 0.02 0.03 0.02 0 0.03 0.02 0.01 0.02 0.29 0.01 0.01 0.23 0 0 0.01 0.04 0.02 0.02 0.01 0.17 0.05 0.05
FBgn0000032 0.52 1.08 0.18 0.62 0.66 0.42 1.06 0.29 0.71 1.66 1.53 0.42 0.99 0.63 0.18 0.52 0.04 1.71 0.57 1.31 0.44 0.46 1.38 8.24 0.56 0.11 2.99 1.83 2.27 3.29 8.07 0.81 0.82 0.76 0.73 1.49
FBgn0000036 0.57 1.12 0.35 0.18 0.31 4.45 2.48 1.98 0.08 0.08 0.03 0.01 0.04 0.02 0.02 0.01 0.01 0.01 0.38 0.49 0 0.1 0.06 0.74 0 1.57 0.01 0.01 0 0.02 0.04 0.01 0.11 0.18 0.05 0.05
FBgn0000037 0.92 0.65 0.13 0.33 0.67 2.49 1.1 0.54 0.03 0.11 0.04 0.05 0.02 0.01 0.07 0.03 0.05 0 0.17 0.17 0.01 0.06 0.03 0.02 0 0.61 0.02 0.02 0.03 0.02 0.02 0.32 0.09 0.04 0.08 0.01
FBgn0000038 7.89 22.01 0.46 0.27 3.17 6.69 11.71 0.11 0.01 0.73 0 0 0.05 0.03 0.17 0.04 0.01 0.2 2.06 1.09 0.03 0.01 0.34 0.05 0.09 1.64 0 0 0 0.1 0.05 0.02 0.08 0.9 1.21 0.16
FBgn0000039 0.95 1.83 0.59 0.23 1.12 1.77 0.22 2.16 0.01 0.24 0 0 0.02 0.01 0 0.01 0.07 0.01 0.4 0.24 0 0.04 0.04 0.3 0 1.42 0.02 0 0 0.05 0.03 0.01 0.12 0.16 0.12 0.06
FBgn0000042 37.94 14.93 53.95 5.35 5.26 12.59 19.16 0.13 22.5 53.11 355.98 295.75 32.27 32.84 167.02 129.08 34.29 35.13 15 52.73 24.49 7.41 46.23 83.16 35.95 119.56 112.71 175.83 60.8 79.79 65.93 280.22 53 29.44 31.37 180.1
FBgn0000043 1.49 3.12 1.31 0.7 0.77 1.62 2.94 2.33 2.36 3.67 33.37 30.49 3.92 2.52 3.08 3.47 0.74 14.81 3.15 5.23 0.23 2.36 26.27 8.89 7.98 25.04 45.97 30.42 10.41 30.65 35.18 31.21 15.77 6.28 8.76 32.72
FBgn0000044 22.32 35.76 2.89 2.45 2.93 1.56 8.51 3.89 200.18 729.29 44.83 41.65 9.71 10.61 7.43 5.54 4.39 24.78 53.83 86.81 68.98 187.01 35.83 21.07 5.32 13.64 12.58 402.84 9.18 181.46 2.16 190.28 900.85 23.68 38.2 118.22
FBgn0000045 2.06 10.88 0.88 0.57 4.1 0.41 21.35 0.14 9.18 0.63 0.36 0.18 0.03 0.01 0.24 0.12 15.09 4.8 57.56 43.09 5.24 0.18 0.18 0.43 0.01 0.02 0.02 0 0.15 0.26 0 0.01 0.02 10.17 3.28 0.09
